Issuance Date/Time (Pacific),Valid Date/Time (Pacific),Stage (Feet),Flow (CFS),Trend,Threshold Exceedance Status,Observed/Forecast
04/01/2025 07:57 AM,03/30/2025 03 PM,10.78,3464,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 04 PM,10.76,3437,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 05 PM,10.75,3423,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 06 PM,10.74,3410,-,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 07 PM,10.75,3423,+,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 08 PM,10.81,3506,+,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 09 PM,11.06,3860,+,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 10 PM,11.36,4305,+,Normal,Observed
04/01/2025 07:57 AM,03/30/2025 11 PM,11.82,5034,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 12 AM,12.02,5367,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 01 AM,12.46,6136,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 02 AM,12.74,6651,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 03 AM,12.62,6428,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 04 AM,12.44,6100,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 05 AM,12.43,6082,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 06 AM,12.43,6082,0,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 07 AM,12.37,5975,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 08 AM,12.31,5868,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 09 AM,12.27,5798,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 10 AM,12.26,5780,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 11 AM,12.31,5868,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 12 PM,12.34,5922,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 01 PM,12.33,5904,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 02 PM,12.36,5957,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 03 PM,12.40,6028,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 04 PM,12.42,6064,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 05 PM,12.44,6100,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 06 PM,12.43,6082,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 07 PM,12.42,6064,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 08 PM,12.43,6082,+,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 09 PM,12.40,6028,-,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 10 PM,12.40,6028,0,Normal,Observed
04/01/2025 07:57 AM,03/31/2025 11 PM,12.42,6064,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 12 AM,12.49,6190,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 01 AM,12.63,6446,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 02 AM,12.93,7012,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 03 AM,13.29,7720,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 04 AM,13.54,8230,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 05 AM,13.90,8993,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 06 AM,14.01,9232,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 07 AM,14.11,9452,+,Normal,Observed
04/01/2025 07:57 AM,04/01/2025 08 AM,14.25,9765,,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 09 AM,14.38,10059,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 10 AM,14.54,10427,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 11 AM,14.76,10944,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 12 PM,14.93,11378,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 01 PM,15.06,11716,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 02 PM,15.15,11951,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 03 PM,15.27,12267,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 04 PM,15.40,12611,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 05 PM,15.51,12904,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 06 PM,15.60,13145,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 07 PM,15.64,13252,+,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 08 PM,15.64,13252,0,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 09 PM,15.62,13199,-,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 10 PM,15.57,13065,-,Normal,Forecast
04/01/2025 07:57 AM,04/01/2025 11 PM,15.52,12931,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 12 AM,15.46,12771,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 01 AM,15.39,12584,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 02 AM,15.32,12399,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 03 AM,15.24,12188,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 04 AM,15.16,11977,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 05 AM,15.08,11768,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 06 AM,14.99,11533,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 07 AM,14.90,11300,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 08 AM,14.80,11042,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 09 AM,14.69,10778,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 10 AM,14.56,10474,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 11 AM,14.45,10219,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 12 PM,14.34,9968,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 01 PM,14.24,9742,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 02 PM,14.14,9519,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 03 PM,14.05,9320,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 04 PM,13.96,9123,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 05 PM,13.88,8950,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 06 PM,13.79,8756,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 07 PM,13.71,8586,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 08 PM,13.63,8418,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 09 PM,13.56,8272,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 10 PM,13.48,8106,-,Normal,Forecast
04/01/2025 07:57 AM,04/02/2025 11 PM,13.41,7963,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 12 AM,13.34,7820,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 01 AM,13.27,7679,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 02 AM,13.21,7559,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 03 AM,13.14,7421,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 04 AM,13.07,7283,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 05 AM,13.01,7166,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 06 AM,12.95,7050,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 07 AM,12.89,6935,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 08 AM,12.83,6821,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 09 AM,12.78,6726,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 10 AM,12.72,6614,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 11 AM,12.67,6520,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 12 PM,12.61,6410,-,Normal,Forecast
04/01/2025 07:57 AM,04/03/2025 01 PM,12.56,6318,-,Normal,Forecast
