,Flow projection
2025-04-02 00:00:00-07:00,11082.2492492348
2025-04-03 00:00:00-07:00,8483.728630761994
2025-04-04 00:00:00-07:00,6666.4102209583225
2025-04-05 00:00:00-07:00,5386.085306304041
2025-04-06 00:00:00-07:00,4419.02232613658
2025-04-07 00:00:00-07:00,4550.329995992434
2025-04-08 00:00:00-07:00,3837.592615309212
2025-04-09 00:00:00-07:00,3507.279169976213
2025-04-10 00:00:00-07:00,3018.8665638634156
2025-04-11 00:00:00-07:00,2649.6234570660845
2025-04-12 00:00:00-07:00,2304.5484545513327
2025-04-13 00:00:00-07:00,2058.4607826620936
2025-04-14 00:00:00-07:00,1822.3435012731995
2025-04-15 00:00:00-07:00,1651.084748634512
2025-04-16 00:00:00-07:00,1479.8259959958245
2025-04-17 00:00:00-07:00,1354.848859734881
2025-04-18 00:00:00-07:00,1235.7375431829987
2025-04-19 00:00:00-07:00,1128.6690890155255
2025-04-20 00:00:00-07:00,1045.8219327103805
2025-04-21 00:00:00-07:00,962.9747764052355
2025-04-22 00:00:00-07:00,890.8061959401011
2025-04-23 00:00:00-07:00,833.1825816082389
2025-04-24 00:00:00-07:00,775.5589672763768
2025-04-25 00:00:00-07:00,719.9121125028316
2025-04-26 00:00:00-07:00,679.8324649128912
2025-04-27 00:00:00-07:00,639.7528173229507
2025-04-28 00:00:00-07:00,599.6731697330104
2025-04-29 00:00:00-07:00,563.7984098984762
2025-04-30 00:00:00-07:00,535.9213207980625
2025-05-01 00:00:00-07:00,508.04423169764897
2025-05-02 00:00:00-07:00,480.1671425972354
2025-05-03 00:00:00-07:00,452.76564364643133
2025-05-04 00:00:00-07:00,433.37595253357443
2025-05-05 00:00:00-07:00,413.98626142071754
2025-05-06 00:00:00-07:00,394.59657030786065
2025-05-07 00:00:00-07:00,375.20687919500375
2025-05-08 00:00:00-07:00,356.8517742214873
2025-05-09 00:00:00-07:00,343.3654364262342
2025-05-10 00:00:00-07:00,329.8790986309811
2025-05-11 00:00:00-07:00,316.39276083572804
2025-05-12 00:00:00-07:00,302.906423040475
2025-05-13 00:00:00-07:00,289.4200852452219
2025-05-14 00:00:00-07:00,278.48203699281964
2025-05-15 00:00:00-07:00,269.10174136063273
2025-05-16 00:00:00-07:00,259.7214457284459
2025-05-17 00:00:00-07:00,250.34115009625899
2025-05-18 00:00:00-07:00,240.96085446407213
2025-05-19 00:00:00-07:00,231.58055883188524
2025-05-20 00:00:00-07:00,223.05495473705554
2025-05-21 00:00:00-07:00,216.53059404593026
2025-05-22 00:00:00-07:00,210.00623335480498
2025-05-23 00:00:00-07:00,203.4818726636797
2025-05-24 00:00:00-07:00,196.9575119725544
2025-05-25 00:00:00-07:00,190.4331512814291
2025-05-26 00:00:00-07:00,183.90879059030385
2025-05-27 00:00:00-07:00,177.55087959972244
2025-05-28 00:00:00-07:00,172.60336625256133
2025-05-29 00:00:00-07:00,167.65585290540022
2025-05-30 00:00:00-07:00,162.7083395582391
2025-05-31 00:00:00-07:00,157.76082621107798
