Issuance Date/Time (Pacific),Valid Date/Time (Pacific),Stage (Feet),Flow (CFS),Trend,Threshold Exceedance Status,Observed/Forecast
04/02/2025 01:57 PM,03/31/2025 04 AM,12.44,6100,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 05 AM,12.43,6082,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 06 AM,12.43,6082,0,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 07 AM,12.37,5975,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 08 AM,12.31,5868,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 09 AM,12.27,5798,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 10 AM,12.26,5780,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 11 AM,12.31,5868,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 12 PM,12.34,5922,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 01 PM,12.33,5904,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 02 PM,12.36,5957,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 03 PM,12.40,6028,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 04 PM,12.42,6064,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 05 PM,12.44,6100,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 06 PM,12.43,6082,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 07 PM,12.42,6064,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 08 PM,12.43,6082,+,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 09 PM,12.40,6028,-,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 10 PM,12.40,6028,0,Normal,Observed
04/02/2025 01:57 PM,03/31/2025 11 PM,12.42,6064,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 12 AM,12.49,6190,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 01 AM,12.63,6446,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 02 AM,12.93,7012,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 03 AM,13.29,7720,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 04 AM,13.54,8230,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 05 AM,13.90,8993,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 06 AM,14.15,9541,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 07 AM,14.26,9787,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 08 AM,14.33,9945,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 09 AM,14.34,9968,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 10 AM,14.41,10128,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 11 AM,14.59,10544,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 12 PM,14.75,10920,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 01 PM,15.02,11611,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 02 PM,15.38,12558,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 03 PM,15.63,13226,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 04 PM,15.81,13711,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 05 PM,15.88,13902,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 06 PM,15.92,14011,+,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 07 PM,15.90,13956,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 08 PM,15.83,13766,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 09 PM,15.77,13603,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 10 PM,15.68,13360,-,Normal,Observed
04/02/2025 01:57 PM,04/01/2025 11 PM,15.61,13172,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 12 AM,15.55,13011,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 01 AM,15.47,12797,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 02 AM,15.47,12797,0,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 03 AM,15.35,12478,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 04 AM,15.27,12267,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 05 AM,15.15,11951,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 06 AM,15.03,11637,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 07 AM,14.92,11352,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 08 AM,14.80,11042,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 09 AM,14.67,10731,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 10 AM,14.56,10474,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 11 AM,14.49,10312,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 12 PM,14.41,10128,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 01 PM,14.31,9900,-,Normal,Observed
04/02/2025 01:57 PM,04/02/2025 02 PM,14.23,9720,,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 03 PM,14.16,9563,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 04 PM,14.07,9364,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 05 PM,13.99,9188,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 06 PM,13.91,9014,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 07 PM,13.82,8821,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 08 PM,13.73,8629,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 09 PM,13.65,8460,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 10 PM,13.57,8293,-,Normal,Forecast
04/02/2025 01:57 PM,04/02/2025 11 PM,13.49,8127,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 12 AM,13.41,7963,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 01 AM,13.33,7800,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 02 AM,13.25,7639,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 03 AM,13.18,7500,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 04 AM,13.10,7342,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 05 AM,13.03,7205,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 06 AM,12.96,7069,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 07 AM,12.88,6916,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 08 AM,12.81,6783,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 09 AM,12.74,6651,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 10 AM,12.68,6539,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 11 AM,12.61,6410,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 12 PM,12.55,6300,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 01 PM,12.49,6190,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 02 PM,12.43,6082,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 03 PM,12.37,5975,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 04 PM,12.31,5868,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 05 PM,12.26,5780,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 06 PM,12.20,5676,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 07 PM,12.15,5589,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 08 PM,12.10,5503,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 09 PM,12.04,5401,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 10 PM,11.99,5316,-,Normal,Forecast
04/02/2025 01:57 PM,04/03/2025 11 PM,11.95,5249,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 12 AM,11.90,5166,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 01 AM,11.88,5133,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 02 AM,11.83,5050,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 03 AM,11.78,4968,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 04 AM,11.74,4903,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 05 AM,11.70,4838,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 06 AM,11.66,4774,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 07 AM,11.62,4710,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 08 AM,11.57,4631,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 09 AM,11.53,4568,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 10 AM,11.49,4506,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 11 AM,11.46,4459,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 12 PM,11.42,4397,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 01 PM,11.38,4336,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 02 PM,11.35,4290,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 03 PM,11.31,4229,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 04 PM,11.27,4169,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 05 PM,11.24,4124,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 06 PM,11.20,4065,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 07 PM,11.17,4020,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 08 PM,11.13,3961,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 09 PM,11.10,3918,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 10 PM,11.07,3874,-,Normal,Forecast
04/02/2025 01:57 PM,04/04/2025 11 PM,11.03,3816,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 12 AM,11.00,3773,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 01 AM,10.97,3730,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 02 AM,10.94,3688,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 03 AM,10.91,3645,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 04 AM,10.88,3603,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 05 AM,10.84,3547,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 06 AM,10.81,3506,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 07 AM,10.78,3464,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 08 AM,10.75,3423,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 09 AM,10.72,3382,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 10 AM,10.69,3342,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 11 AM,10.66,3303,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 12 PM,10.63,3270,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 01 PM,10.60,3236,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 02 PM,10.56,3191,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 03 PM,10.53,3158,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 04 PM,10.50,3125,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 05 PM,10.47,3092,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 06 PM,10.45,3070,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 07 PM,10.43,3048,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 08 PM,10.40,3015,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 09 PM,10.38,2994,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 10 PM,10.36,2972,-,Normal,Forecast
04/02/2025 01:57 PM,04/05/2025 11 PM,10.34,2951,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 12 AM,10.31,2919,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 01 AM,10.29,2897,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 02 AM,10.27,2876,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 03 AM,10.25,2855,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 04 AM,10.23,2834,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 05 AM,10.20,2802,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 06 AM,10.18,2781,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 07 AM,10.16,2760,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 08 AM,10.14,2740,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 09 AM,10.12,2719,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 10 AM,10.10,2698,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 11 AM,10.08,2678,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 12 PM,10.06,2657,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 01 PM,10.05,2647,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 02 PM,10.03,2627,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 03 PM,10.01,2607,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 04 PM,9.99,2586,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 05 PM,9.98,2576,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 06 PM,9.96,2556,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 07 PM,9.95,2546,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 08 PM,9.93,2526,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 09 PM,9.92,2516,-,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 10 PM,9.92,2516,0,Normal,Forecast
04/02/2025 01:57 PM,04/06/2025 11 PM,9.92,2516,0,Normal,Forecast
04/02/2025 01:57 PM,04/07/2025 12 AM,9.92,2516,0,Normal,Forecast
04/02/2025 01:57 PM,04/07/2025 01 AM,9.93,2526,+,Normal,Forecast
04/02/2025 01:57 PM,04/07/2025 02 AM,9.96,2556,+,Normal,Forecast
04/02/2025 01:57 PM,04/07/2025 03 AM,9.98,2576,+,Normal,Forecast
04/02/2025 01:57 PM,04/07/2025 04 AM,10.02,2617,+,Normal,Forecast
04/02/2025 01:57 PM,04/07/2025 05 AM,10.06,2657,+,Normal,Forecast
