,x,y
0,0.680374579763571,-14.555252188713705
1,0.8461552920271833,-14.309013126905915
2,0.9935893590182043,-14.089094771325934
3,1.1290962477352442,-13.886134894256626
4,1.2689951057660094,-13.675704945774743
5,1.4224003081040657,-13.443855320562879
6,1.5605802672132685,-13.233974630760788
7,1.6985313979696133,-13.023409923373775
8,1.854996000927269,-12.783287397813531
9,1.998136724131665,-12.562359258947733
10,2.148268674951747,-12.32931352105371
11,2.2882412143548843,-12.110784027594038
12,2.4320466535901457,-11.884986108488159
13,2.574979415272795,-11.65925079868099
14,2.7226804534602276,-11.42460314260601
15,2.8631537509969087,-11.200130048632184
16,3.0029294827666444,-10.975507555375076
17,3.143245368024143,-10.748756354661129
18,3.2976879476345493,-10.497732454510077
19,3.5042227798644925,-10.159721307375644
20,3.8284974007919113,-9.623867369441905
21,4.370629532063571,-8.715134887067133
