,x,y
0,8.52234749899909,-4.262529447416248
1,7.8725989937805165,-5.281388749885159
2,7.656811033822437,-5.684864373181937
3,7.488574216910221,-6.13074341030131
4,7.309685674600052,-6.319529012213905
5,7.138032171240186,-6.382234570934867
6,6.970780438587445,-6.868688268822089
7,6.801138877541339,-6.8659666249998645
8,6.624597237599999,-7.265421836491563
9,6.461762044538812,-7.567048191995862
10,6.289166647267032,-7.73698368134395
11,6.113347855466486,-8.112148104979807
12,5.955602768289136,-8.506274234207455
13,5.794500655918716,-8.752377295425202
14,5.613250695832036,-8.956798401135543
15,5.4595864564862175,-9.001356018217013
16,5.283204671080047,-9.387771001133887
17,5.115496627054458,-9.817408024085694
18,4.936271821149452,-10.087545786886565
19,4.760749360148593,-10.175347990331012
20,4.5623250278653575,-10.30203127545766
