,x,y
0,4.516339914623535,-10.583375931418935
1,4.716437248450805,-10.278265541438666
2,4.888737600448244,-10.015034492059392
3,5.04450075039107,-9.776659143679172
4,5.236442905172008,-9.482375143092131
5,5.413533949041233,-9.210324022240435
6,5.5758352546944705,-8.960535734145383
7,5.747357177490869,-8.696076443118319
8,5.904593962820753,-8.453205612462888
9,6.0800687359976475,-8.181667071230752
10,6.260792636179843,-7.901454488273371
11,6.436869443596927,-7.627906539241846
12,6.59025111419369,-7.389180655012825
13,6.763634790171584,-7.118832811135535
14,6.946558786865279,-6.833044317173933
15,7.1247633361060405,-6.5540713636712775
16,7.281779803597541,-6.307811924711416
17,7.437849569993297,-6.062615191982143
18,7.619196594931466,-5.777179345249982
19,7.856928937672944,-5.4021413553330495
20,8.493689277045018,-4.392911127923047
