,11476500
2015-07-26 00:00:00-07:00,18.400017339102046
2015-07-27 00:00:00-07:00,18.1000170563993
2015-07-28 00:00:00-07:00,18.1000170563993
2015-07-29 00:00:00-07:00,18.1000170563993
2015-07-30 00:00:00-07:00,17.800016773696548
2015-07-31 00:00:00-07:00,17.400016396759543
2015-08-01 00:00:00-07:00,17.200016208291043
2015-08-02 00:00:00-07:00,17.000016019822546
2015-08-03 00:00:00-07:00,16.800015831354045
2015-08-04 00:00:00-07:00,17.100016114056796
2015-08-05 00:00:00-07:00,17.600016585228047
2015-08-06 00:00:00-07:00,17.700016679462294
2015-08-07 00:00:00-07:00,17.900016867930795
2015-08-08 00:00:00-07:00,19.000017904507548
2015-08-09 00:00:00-07:00,18.00001696216505
2015-08-10 00:00:00-07:00,17.900016867930795
2015-08-11 00:00:00-07:00,18.1000170563993
2015-08-12 00:00:00-07:00,17.700016679462294
2015-08-13 00:00:00-07:00,17.500016490993794
2015-08-14 00:00:00-07:00,17.000016019822546
2015-08-15 00:00:00-07:00,16.800015831354045
2015-08-16 00:00:00-07:00,16.70001573711979
2015-08-17 00:00:00-07:00,16.800015831354045
2015-08-18 00:00:00-07:00,16.800015831354045
2015-08-19 00:00:00-07:00,16.900015925588292
2015-08-20 00:00:00-07:00,16.900015925588292
2015-08-21 00:00:00-07:00,16.600015642885545
2015-08-22 00:00:00-07:00,16.50001554865129
2015-08-23 00:00:00-07:00,16.600015642885545
2015-08-24 00:00:00-07:00,16.200015265948544
2015-08-25 00:00:00-07:00,16.100015171714293
2015-08-26 00:00:00-07:00,15.900014983245793
2015-08-27 00:00:00-07:00,15.80001488901154
2015-08-28 00:00:00-07:00,15.900014983245793
2015-08-29 00:00:00-07:00,17.600016585228047
2015-08-30 00:00:00-07:00,18.00001696216505
2015-08-31 00:00:00-07:00,19.000017904507548
2015-09-01 00:00:00-07:00,19.80001865838155
2015-09-02 00:00:00-07:00,18.80001771603905
2015-09-03 00:00:00-07:00,17.800016773696548
2015-09-04 00:00:00-07:00,17.400016396759543
2015-09-05 00:00:00-07:00,17.100016114056796
2015-09-06 00:00:00-07:00,16.800015831354045
2015-09-07 00:00:00-07:00,16.600015642885545
2015-09-08 00:00:00-07:00,16.800015831354045
2015-09-09 00:00:00-07:00,16.800015831354045
2015-09-10 00:00:00-07:00,16.600015642885545
2015-09-11 00:00:00-07:00,16.50001554865129
2015-09-12 00:00:00-07:00,16.40001545441704
2015-09-13 00:00:00-07:00,16.200015265948544
2015-09-14 00:00:00-07:00,16.50001554865129
2015-09-15 00:00:00-07:00,16.900015925588292
2015-09-16 00:00:00-07:00,23.30002195658031
2015-09-17 00:00:00-07:00,35.30003326469034
2015-09-18 00:00:00-07:00,44.60004202847562
