,Flow projection
2025-04-05 00:00:00-07:00,3838.0036167105245
2025-04-06 00:00:00-07:00,3207.0506699245766
2025-04-07 00:00:00-07:00,4203.028815088085
2025-04-08 00:00:00-07:00,4349.598531987059
2025-04-09 00:00:00-07:00,3601.402243397798
2025-04-10 00:00:00-07:00,3036.0716907196256
2025-04-11 00:00:00-07:00,2603.7835154977824
2025-04-12 00:00:00-07:00,2241.7096019566306
2025-04-13 00:00:00-07:00,1969.5136659940038
2025-04-14 00:00:00-07:00,1738.669253709959
2025-04-15 00:00:00-07:00,1549.3231156740467
2025-04-16 00:00:00-07:00,1388.9656043375473
2025-04-17 00:00:00-07:00,1257.238895643475
2025-04-18 00:00:00-07:00,1134.3525722391346
2025-04-19 00:00:00-07:00,1042.7075221941925
2025-04-20 00:00:00-07:00,951.0624721492502
2025-04-21 00:00:00-07:00,876.480185576965
2025-04-22 00:00:00-07:00,812.7179188732193
2025-04-23 00:00:00-07:00,748.9556521694735
2025-04-24 00:00:00-07:00,697.4614039246421
2025-04-25 00:00:00-07:00,653.0967316784079
2025-04-26 00:00:00-07:00,608.7320594321735
2025-04-27 00:00:00-07:00,567.4901200300189
2025-04-28 00:00:00-07:00,536.62066411495
2025-04-29 00:00:00-07:00,505.75120819988115
2025-04-30 00:00:00-07:00,474.88175228481225
2025-05-01 00:00:00-07:00,447.3126922795703
2025-05-02 00:00:00-07:00,425.8325032863577
2025-05-03 00:00:00-07:00,404.3523142931451
2025-05-04 00:00:00-07:00,382.8721252999326
2025-05-05 00:00:00-07:00,361.39193630671997
2025-05-06 00:00:00-07:00,345.9748984951658
2025-05-07 00:00:00-07:00,331.02756221823716
2025-05-08 00:00:00-07:00,316.08022594130847
2025-05-09 00:00:00-07:00,301.1328896643798
2025-05-10 00:00:00-07:00,286.1855533874511
2025-05-11 00:00:00-07:00,275.2755175431746
2025-05-12 00:00:00-07:00,264.8737979738878
2025-05-13 00:00:00-07:00,254.47207840460095
2025-05-14 00:00:00-07:00,244.07035883531415
2025-05-15 00:00:00-07:00,233.66863926602733
2025-05-16 00:00:00-07:00,223.73942642737092
2025-05-17 00:00:00-07:00,216.5007189970569
2025-05-18 00:00:00-07:00,209.2620115667429
2025-05-19 00:00:00-07:00,202.0233041364289
2025-05-20 00:00:00-07:00,194.7845967061149
2025-05-21 00:00:00-07:00,187.5458892758009
2025-05-22 00:00:00-07:00,180.3071818454869
2025-05-23 00:00:00-07:00,174.43073669915188
2025-05-24 00:00:00-07:00,169.39306076573362
2025-05-25 00:00:00-07:00,164.3553848323154
2025-05-26 00:00:00-07:00,159.31770889889714
2025-05-27 00:00:00-07:00,154.28003296547888
2025-05-28 00:00:00-07:00,149.24235703206065
2025-05-29 00:00:00-07:00,144.2046810986424
2025-05-30 00:00:00-07:00,139.40006181224288
2025-05-31 00:00:00-07:00,135.57482090131404
2025-06-01 00:00:00-07:00,131.74957999038523
2025-06-02 00:00:00-07:00,127.92433907945639
2025-06-03 00:00:00-07:00,124.09909816852756
