,Flow projection
2025-04-05 00:00:00-07:00,2001.1447429048255
2025-04-06 00:00:00-07:00,1600.4754582103553
2025-04-07 00:00:00-07:00,1928.5038763322787
2025-04-08 00:00:00-07:00,1925.0634221784776
2025-04-09 00:00:00-07:00,1564.672293626362
2025-04-10 00:00:00-07:00,1297.1160635669846
2025-04-11 00:00:00-07:00,1099.9305452684407
2025-04-12 00:00:00-07:00,945.304030768788
2025-04-13 00:00:00-07:00,836.0184942348047
2025-04-14 00:00:00-07:00,738.4221205618031
2025-04-15 00:00:00-07:00,663.6781577523743
2025-04-16 00:00:00-07:00,596.870358356665
2025-04-17 00:00:00-07:00,544.8762076013044
2025-04-18 00:00:00-07:00,493.7734998514333
2025-04-19 00:00:00-07:00,457.5932781843747
2025-04-20 00:00:00-07:00,421.413056517316
2025-04-21 00:00:00-07:00,389.32580578193716
2025-04-22 00:00:00-07:00,364.1418141487723
2025-04-23 00:00:00-07:00,338.95782251560746
2025-04-24 00:00:00-07:00,315.5914753353853
2025-04-25 00:00:00-07:00,298.0561845925933
2025-04-26 00:00:00-07:00,280.5208938498013
2025-04-27 00:00:00-07:00,262.98560310700935
2025-04-28 00:00:00-07:00,248.57417513353786
2025-04-29 00:00:00-07:00,236.36084579729012
2025-04-30 00:00:00-07:00,224.14751646104236
2025-05-01 00:00:00-07:00,211.93418712479462
2025-05-02 00:00:00-07:00,201.00703060548122
2025-05-03 00:00:00-07:00,192.49790970668798
2025-05-04 00:00:00-07:00,183.9887888078947
2025-05-05 00:00:00-07:00,175.47966790910144
2025-05-06 00:00:00-07:00,166.97054701030817
2025-05-07 00:00:00-07:00,159.59028059738034
2025-05-08 00:00:00-07:00,153.66019714851456
2025-05-09 00:00:00-07:00,147.73011369964877
2025-05-10 00:00:00-07:00,141.800030250783
2025-05-11 00:00:00-07:00,135.86994680191722
2025-05-12 00:00:00-07:00,129.93986335305144
2025-05-13 00:00:00-07:00,125.39259290637432
2025-05-14 00:00:00-07:00,121.25871739807705
2025-05-15 00:00:00-07:00,117.12484188977979
2025-05-16 00:00:00-07:00,112.99096638148251
2025-05-17 00:00:00-07:00,108.85709087318524
2025-05-18 00:00:00-07:00,104.72321536488796
2025-05-19 00:00:00-07:00,100.89848716749312
2025-05-20 00:00:00-07:00,98.01599321780137
2025-05-21 00:00:00-07:00,95.13349926810962
2025-05-22 00:00:00-07:00,92.25100531841787
2025-05-23 00:00:00-07:00,89.36851136872612
2025-05-24 00:00:00-07:00,86.48601741903437
2025-05-25 00:00:00-07:00,83.60352346934262
2025-05-26 00:00:00-07:00,80.72102951965086
2025-05-27 00:00:00-07:00,78.48144782849727
2025-05-28 00:00:00-07:00,76.43975981133303
2025-05-29 00:00:00-07:00,74.3980717941688
2025-05-30 00:00:00-07:00,72.35638377700457
2025-05-31 00:00:00-07:00,70.31469575984033
2025-06-01 00:00:00-07:00,68.2730077426761
2025-06-02 00:00:00-07:00,66.23131972551187
2025-06-03 00:00:00-07:00,64.18963170834763
