,log_q,log_dq,se
0,8.493689277045018,-4.308248462698066,0.2031012879101308
1,7.856928937672944,-5.176719389500511,0.18787033499846698
2,7.619196594931466,-6.001485163226943,0.10464756462488542
3,7.437849569993297,-6.171263092127169,0.1026289993499022
4,7.281779803597541,-6.302791659586111,0.150314076786433
5,7.1247633361060405,-6.371319893316205,0.16300760990175592
6,6.946558786865279,-6.866932342119823,0.08546781204500047
7,6.763634790171584,-6.825067413383706,0.11697140873166975
8,6.59025111419369,-7.356383106301081,0.08369258529293565
9,6.436869443596927,-7.554348847970783,0.09494377942400148
10,6.260792636179843,-7.8075916650109365,0.070176827368027
11,6.0800687359976475,-8.21162070240725,0.07589611952237818
12,5.904593962820753,-8.529013988039345,0.10981332096961002
13,5.747357177490869,-8.770244297253626,0.06958518047372815
14,5.5758352546944705,-8.99536608857994,0.10201424547484862
15,5.413533949041233,-9.087504283453034,0.10846657252796404
16,5.236442905172008,-9.62725097176779,0.11563353187873797
17,5.04450075039107,-9.85344796056889,0.0624834485402645
18,4.888737600448244,-10.166347029472037,0.16629706837710923
19,4.716437248450805,-10.268129723781978,0.11523584414721724
20,4.516339914623535,-10.284936842098361,0.11795859802186508
