,Flow projection
2025-04-04 00:00:00-07:00,5127.651890823292
2025-04-05 00:00:00-07:00,4129.747843937993
2025-04-06 00:00:00-07:00,3365.501524417596
2025-04-07 00:00:00-07:00,3956.07997692892
2025-04-08 00:00:00-07:00,3835.0480496328782
2025-04-09 00:00:00-07:00,3292.764202544018
2025-04-10 00:00:00-07:00,2778.4932180896935
2025-04-11 00:00:00-07:00,2392.473242284788
2025-04-12 00:00:00-07:00,2096.745736000978
2025-04-13 00:00:00-07:00,1835.8395313792705
2025-04-14 00:00:00-07:00,1631.0433960793682
2025-04-15 00:00:00-07:00,1451.8352214671577
2025-04-16 00:00:00-07:00,1311.7724722796102
2025-04-17 00:00:00-07:00,1186.866334279446
2025-04-18 00:00:00-07:00,1078.415938553852
2025-04-19 00:00:00-07:00,991.4634308394545
2025-04-20 00:00:00-07:00,904.5109231250573
2025-04-21 00:00:00-07:00,838.6888481884366
2025-04-22 00:00:00-07:00,778.1384276759844
2025-04-23 00:00:00-07:00,717.5880071635322
2025-04-24 00:00:00-07:00,671.227633181012
2025-04-25 00:00:00-07:00,629.0557295556501
2025-04-26 00:00:00-07:00,586.8838259302883
2025-04-27 00:00:00-07:00,548.5091982993658
2025-04-28 00:00:00-07:00,519.1324027527083
2025-04-29 00:00:00-07:00,489.755607206051
2025-04-30 00:00:00-07:00,460.37881165939365
2025-05-01 00:00:00-07:00,433.8211734020415
2025-05-02 00:00:00-07:00,413.35399883601934
2025-05-03 00:00:00-07:00,392.8868242699972
2025-05-04 00:00:00-07:00,372.41964970397504
2025-05-05 00:00:00-07:00,351.9524751379529
2025-05-06 00:00:00-07:00,336.24556226315667
2025-05-07 00:00:00-07:00,321.9835459071595
2025-05-08 00:00:00-07:00,307.7215295511624
2025-05-09 00:00:00-07:00,293.4595131951653
2025-05-10 00:00:00-07:00,279.19749683916814
2025-05-11 00:00:00-07:00,267.4371584564987
2025-05-12 00:00:00-07:00,257.4975256187944
2025-05-13 00:00:00-07:00,247.55789278109
2025-05-14 00:00:00-07:00,237.61825994338568
2025-05-15 00:00:00-07:00,227.67862710568133
2025-05-16 00:00:00-07:00,217.73899426797698
2025-05-17 00:00:00-07:00,209.83048542338742
2025-05-18 00:00:00-07:00,202.9022523440648
2025-05-19 00:00:00-07:00,195.97401926474217
2025-05-20 00:00:00-07:00,189.04578618541956
2025-05-21 00:00:00-07:00,182.11755310609692
2025-05-22 00:00:00-07:00,175.18932002677428
2025-05-23 00:00:00-07:00,168.26108694745167
2025-05-24 00:00:00-07:00,163.369376660343
2025-05-25 00:00:00-07:00,158.53953104616426
2025-05-26 00:00:00-07:00,153.70968543198552
2025-05-27 00:00:00-07:00,148.87983981780678
2025-05-28 00:00:00-07:00,144.04999420362805
2025-05-29 00:00:00-07:00,139.2201485894493
2025-05-30 00:00:00-07:00,134.39030297527057
2025-05-31 00:00:00-07:00,129.93944646427497
2025-06-01 00:00:00-07:00,126.11765072897174
2025-06-02 00:00:00-07:00,122.2958549936685
