,log_q,log_dq,se
0,7.941237220609755,-4.58209643063006,0.1957815118844734
1,7.161942339347794,-5.889663340858412,0.13867290139572624
2,6.786358706756552,-6.589147571624237,0.08193267279573933
3,6.551527606337305,-7.074999148665636,0.22305340773686838
4,6.3928389046549485,-7.180122174118817,0.0865379900039244
5,6.232035265640223,-7.483010191977234,0.11196211065098795
6,6.078407419583849,-7.608777098543038,0.1313007732442744
7,5.909135221066913,-7.9905867668200985,0.09665342961944293
8,5.748405080177647,-8.235755692960128,0.08115342949592362
9,5.593666235953228,-8.549277025362011,0.08182651205540979
10,5.417750777135116,-8.928128646632933,0.0795163355061843
11,5.264103228445581,-9.217802676273331,0.052759238060452934
12,5.108563790548904,-9.474362977859737,0.08100900384962537
13,4.956569015168038,-9.612975939661249,0.08799701775322422
14,4.784457781428951,-9.74375987490823,0.10276476580782401
15,4.628643484515292,-9.98566959531135,0.08278552061901391
16,4.470178350942573,-10.587162326117836,0.0852045811477819
17,4.318681327296387,-10.829940902280837,0.19495331846340355
18,4.149100748202066,-10.79837343340507,0.08892590656959046
19,3.954724177302232,-11.109197034418546,0.13596174993240057
